,title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box office (float),Release date (datetime),Release dates (datetime),imdb,metascore,rotten_tomatoes,Written by,Production companies,Story by
27,Iron Man,Jon Favreau,"['Mark Fergus Hawk Ostby', 'Art Marcum Matt Holloway']","['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']","['Avi Arad', 'Kevin Feige']","['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",Matthew Libatique,Dan Lebental,Ramin Djawadi,Marvel Studios,Paramount Pictures [N 1],"['April 14, 2008 ( 2008-04-14 ) (Sydney)', 'May 2, 2008 ( 2008-05-02 ) (United States)']",126 minutes [4],United States,English,$140 million [5],$585.8 million [5],126,140000000,585800000,,14/04/2008,7.9,79,94%,,,
28,The Incredible Hulk,Louis Leterrier,,"['Stan Lee', 'Jack Kirby']","['Avi Arad', 'Gale Anne Hurd', 'Kevin Feige']","['Edward Norton', 'Liv Tyler', 'Tim Roth', 'Tim Blake Nelson', 'Ty Burrell', 'William Hurt']",Peter Menzies Jr.,"['John Wright', 'Rick Shaine', 'Vincent Tabaillon']",Craig Armstrong,,Universal Pictures,"['June 8, 2008 ( 2008-06-08 ) ( Gibson Amphitheatre )', 'June 13, 2008 ( 2008-06-13 ) (United States)']",112 minutes [1],United States,English,$137.5 million [2],$264.8 million [3],112,137500000,264800000,,08/06/2008,6.6,61,67%,Zak Penn,"['Marvel Studios', 'Valhalla Motion Pictures']",
29,Iron Man 2,Jon Favreau,Justin Theroux,"['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']",Matthew Libatique,"['Dan Lebental', 'Richard Pearson']",John Debney,Marvel Studios,Paramount Pictures [N 1],"['April 26, 2010 ( 2010-04-26 ) ( El Capitan Theatre )', 'May 7, 2010 ( 2010-05-07 ) (United States)']",125 minutes [4],United States,English,$170–200 million [5] [6],$623.9 million [6],125,170000000,623900000,,26/04/2010,7,57,72%,,,
30,Thor,Kenneth Branagh,"['Ashley Edward Miller', 'Zack Stentz', 'Don Payne']","['Stan Lee', 'Larry Lieber', 'Jack Kirby']",Kevin Feige,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård', 'Colm Feore', 'Ray Stevenson', 'Idris Elba', 'Kat Dennings', 'Rene Russo', 'Anthony Hopkins']",Haris Zambarloukos [1],Paul Rubell [1],Patrick Doyle,Marvel Studios,Paramount Pictures [N 1],"['April 17, 2011 ( 2011-04-17 ) ( Sydney )', 'May 6, 2011 ( 2011-05-06 ) (United States)']",114 minutes [5],United States,English,$150 million [6],$449.3 million [7],114,150000000,449300000,,17/04/2011,7,57,77%,,,"['J. Michael Straczynski', 'Mark Protosevich']"
31,Captain America: The First Avenger,Joe Johnston,"['Christopher Markus', 'Stephen McFeely']","['Joe Simon', 'Jack Kirby']",Kevin Feige,"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Neal McDonough', 'Derek Luke', 'Stanley Tucci']",Shelly Johnson,"['Jeffrey Ford', 'Robert Dalva']",Alan Silvestri,Marvel Studios,Paramount Pictures [N 1],"['July 19, 2011 ( 2011-07-19 ) ( El Capitan Theatre )', 'July 22, 2011 ( 2011-07-22 ) (United States)']",124 minutes [4],United States,English,$140–216.7 million [5] [6],$370.6 million [7],124,140000000,370600000,,19/07/2011,6.9,66,80%,,,
32,The Avengers,Joss Whedon,Joss Whedon,"['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson']",Seamus McGarvey,"['Jeffrey Ford', 'Lisa Lassek']",Alan Silvestri,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures', '[N 1]']","['April 11, 2012 ( 2012-04-11 ) ( El Capitan Theatre )', 'May 4, 2012 ( 2012-05-04 ) (United States)']",143 minutes [3],United States,English,$220 million [4],$1.519 billion [5],143,220000000,1519000000,,11/04/2012,8,69,91%,,,"['Zak Penn', 'Joss Whedon']"
33,Iron Man 3,Shane Black,"['Shane Black', 'Drew Pearce']","['Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Stéphanie Szostak', 'James Badge Dale', 'Jon Favreau', 'Ben Kingsley']",John Toll,"['Jeffrey Ford', 'Peter S. Elliot']",Brian Tyler,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures', '[N 1]']","['April 14, 2013 ( 2013-04-14 ) ( Grand Rex )', 'May 3, 2013 ( 2013-05-03 ) (United States)']",131 minutes [1],United States,English,$200 million [2],$1.214 billion [3],131,200000000,1214000000,,14/04/2013,7.1,62,79%,,,
34,Thor: The Dark World,Alan Taylor,"['Christopher Yost', 'Christopher Markus Stephen McFeely']","['Stan Lee', 'Larry Lieber', 'Jack Kirby']",Kevin Feige,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Idris Elba', 'Christopher Eccleston', 'Adewale Akinnuoye-Agbaje', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Tadanobu Asano', 'Jaimie Alexander', 'Rene Russo']",Kramer Morgenthau,"['Dan Lebental', 'Wyatt Smith']",Brian Tyler,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['October 22, 2013 ( 2013-10-22 ) ( Leicester Square )', 'November 8, 2013 ( 2013-11-08 ) (United States)']",112 minutes [1],United States,English,$150–170 million [2] [3],$644.8 million [4],112,150000000,644800000,,22/10/2013,6.8,54,66%,,,"['Don Payne', 'Robert Rodat']"
35,Captain America: The Winter Soldier,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Joe Simon', 'Jack Kirby']",Kevin Feige,"['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Henry Jackman,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['March 13, 2014 ( 2014-03-13 ) ( El Capitan Theatre )', 'April 4, 2014 ( 2014-04-04 ) (United States)']",136 minutes [1],United States,English,$170–177 million [2] [3],$714.4 million [2],136,170000000,714400000,,13/03/2014,7.7,70,90%,,,
36,Guardians of the Galaxy,James Gunn,,"['Dan Abnett', 'Andy Lanning']",Kevin Feige,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro']",Ben Davis,"['Fred Raskin', 'Craig Wood', 'Hughes Winborne']",Tyler Bates,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['July 21, 2014 ( 2014-07-21 ) ( Dolby Theatre )', 'August 1, 2014 ( 2014-08-01 ) (United States)']",122 minutes [1],United States,English,"['$232.3 million (gross) [2]', '$195.9 million (net) [2]']",$772.8 million [3],122,232300000,772800000,,21/07/2014,8,76,92%,"['James Gunn', 'Nicole Perlman']",,
